Phrase,labels
"The PORN INDUSTRY IS A BILLION DOLLAR INDUSTRY BECAUSE OF BEAUTIFUL WOMEN. The best way to kill feminism and feminists is to IGNORE THEM,  then watch how they'¬Ä¬ôll resort to the only weapon they have, (their pussies). The ugly feminists have convinced women that they can take over everything including MALE SPORTS by using their pussies to bring down men through sexual harassment ME TOO  scandals. What would make HEADLINE NEWS? Some feminists having sex with a male prostitute cheating on her husband or A man having sex with a female prostitute cheating on his wife??? What would make HEADLINE NEWS? A woman having sex with a married man whom she knew was married?  Or A married man cheating on his wife?",hate_speech
"this actually makes me so angry. people are just stupidly looking for attention and want to make themselves feel like the most important human on earth. nobody pretends to have cancer or any dangerous physical illness too so why pretending to be “dEpReSsEd” and “aNxIoUs”. nobody should ever feel this way the way it really feels. He has no mental disorder, that’s a fact.",not_hate_speech
My car is my love of my life. I fucking love this bitch. It's fast and it makes me feel complete ,not_hate_speech
Why does Bulgaria exist as a country? It's one of those homosexual ones.,hate_speech
Do not kill people.,not_hate_speech
Lgbt now spread in asia. Many anti lgbt in asian worried their culture are ruined cuz this virus,hate_speech
"Magnificient. Contrary to what the media reports, I have hope for the people of Europe to expel these leeches.",hate_speech
"seriously, any arab or turks i've ever met had something to do with crime, either he or someone of his family.",hate_speech
"Really, I hope she get raped in the future. Raping women should be legal I think",hate_speech
Wow why are these comments soo cruel and people muslims are like other religions and we should respect it!  WE NEED RIGHTS FOR MUSLIMS!!!!,not_hate_speech
I hate being alone at night. Its fucking creepy,not_hate_speech
Masterful. Love & pain in this here post,not_hate_speech
I would beat the shit out of every Russian,hate_speech
My parents are homophobes. :(,not_hate_speech
"The mountain is near the black sea, no wonder we are called caucasian",not_hate_speech
Michael Jackson sick man and sick fans.,not_hate_speech
"We men enjoy the reproductive rights of paying for your abortion, the right to fund planned parenthood, the right to overpay on Obama care to fund contraception for promiscuous sluts. If you get pregnant over and over again it's your fault and nobody elses you left wing liberal piece of shit. Go be a whore. Keep spreading disease. Half of all black women have herpes. And we have the right to pay for it. You are outrageous.",hate_speech
Disability centres all around the world. That’s were our money goes. Let’s take em down,hate_speech
When your squad is complete shit in PUBG,not_hate_speech
My sons school had someone in doing a talk for autism awareness he himself was autisic. He made aware that animals can be autisic too and introduced a picture of his pug lola whom is also autisic which I found interesting.  My 10 year old son is autisic,not_hate_speech
You look like Harry Potter if he stayed under the stairs,not_hate_speech
Faggot. You're probably a fatass too.,not_hate_speech
"I hope you die a slow, painful death.",hate_speech
Please don' come back filthy Caucasian. You can change to a snake next time. Keep  changing.,hate_speech
Who gives a damn we have the ability an the freedom to b whoever the fuck we want to b,not_hate_speech
the engagement ring story outrages me more than it should have.,not_hate_speech
If I had to meet one of the apostles I would fuck them for not killing him,hate_speech
Filthy Chinese ,hate_speech
The Veil of Isis is also a great song by The Sword.,not_hate_speech
Islam! Lets beat their feminist ass.,hate_speech
He is right. Islam is indeed very pissful.,hate_speech
If your face was used on the inside of a jack-in-the-box there would be an epidemic of children dying from shock and disgust.,not_hate_speech
I like big thick bitches to serve me my cocktail. They are good only for such things,hate_speech
Just wanna know how the fuck did this show up on my home on YouTube. So damn disturbing..,not_hate_speech
Because everyone knows this islam men is the devil,hate_speech
"We whites have higher IQ's than blacks, this is because IQ measures intelligence and we are the more evolved and superior race with a larger brain. ",hate_speech
"Well done Slovakia and god bless. DO NOT build mosques, or allow or recognise Islam. They will get the point that EUROPE don't want Muslims here.",hate_speech
"Moldova is a country of masochists.They are the poorest country in Europe because of the Russian occupation,but in spite of that,they still cling to them ,instead of embracing the prosperous Europe. Not smart.",hate_speech
You're a fucking faggot!,hate_speech
that song is fucking awesome.,not_hate_speech
"The most peaceful religions came from India like Buddhism, jainism etc.",not_hate_speech
Women are the weaker sex and should be subordinate to men!,hate_speech
"I thought that a big reason why it had to be africans, is their skin. It's an obvious marker to tell if someone is a slave. And even if they run, they're still black.",hate_speech
It's that nerdy guy from the polar express.,not_hate_speech
"The lady on sitting on the left, with the yellow jacket, is the epitome of a ""smart retard"".",not_hate_speech
I like this lady. Seems like a role model for both men and women on how to have an open mind,not_hate_speech
I'd love to destroy him but I am in more need of tech support.,not_hate_speech
hahahahahahahahaha europ fuck you fucking nazis,hate_speech
"How do you wake up and think this is actually cool? Like do you honestly believe that the average person, who adheres to normal and basic societal rules, looks upon you respectably in any manner?",not_hate_speech
Gosh you guys are getting less funny with each episode.,not_hate_speech
Kill those pig eaters fuck those americunts send them to hell,hate_speech
GUN SHOT INA YU HEAD! NO MERCY!,not_hate_speech
Why are we not allowed to kill christians?,hate_speech
"In the UK, there is a maximum of five years prison sentence for this abuse .. whether male or female!  It is non-gender specific.  It does not matter who abuses the most, it happens to both genders, and the law does not discriminate by gender",not_hate_speech
"This is S-I-C-K If I ever seen a Girlyman like him go into the same lavatory as my wife, or daughter somebody better call the EMTs because the ONLY way SheHe is coming out will be on a Stretcher, or in a body bag! Just sayin..........",hate_speech
All asian people look identical to this one. He is the mother of Asia,not_hate_speech
Conveniences are all the real,not_hate_speech
"Ive had panic attacks due to nothing. Or at least i wouldnt know what wouldve triggered it. My question is, is that normal?",not_hate_speech
I cant understand why someone would think it's ok to bullie someone,not_hate_speech
Sweden is so cool !,not_hate_speech
when  a handsome man marries a man ..we are only bite fingers,not_hate_speech
I feel so dumb I want to have even labeled them as disabled even if I knew them.... when I think of disabilities and especially in terms of affecting one's relationship I think of more like mental disabilities or so serious that you can't use ur body. Thank you for enlightening me and I'm sorry.,not_hate_speech
EEEWWWWWWW TRANSGENDERS ARE FUCKING DISGUSTING,hate_speech
Facing challenges is hard to go through.,not_hate_speech
Well this comment sections pretty... mental,not_hate_speech
I’m searching for a hitman right now to kill this whore and every other like her. H A T E  W O M E N,hate_speech
"It's simple. Ask a person if they're Asian. If the first words out of their mouths are anything other than yes, they are not Asian",not_hate_speech
"I'm beginning to doubt your accuracy, I mean violent Canadians? That's just absurd.",not_hate_speech
The girl in the dress reminds me of opal from bird box,not_hate_speech
Homosexuality and transgenderism is a mental illness and a sexual perversion!,hate_speech
He is complaining his rights are violated well maybe he shouldn' have come uninvited in our country,not_hate_speech
I read the title and immediately was ready to kill,not_hate_speech
I can't stand the sight of your face!,hate_speech
Islam is a religion of hate. These propaganda type videos are dishonest. Simply read the Quran and Hadith.,hate_speech
ONLY LEGAL IMMIGRANTS... Like the hero officer Singh murdered in the line of duty.    NO TO ILLEGAL ALIENS THEY DO NOT BELONG HERE. Deport today,hate_speech
"why is it censored, why does todays generation get butt hurf and offended so easily, if u dont like it, keep walking then! this use to be a free country but its going down the toilet now.",not_hate_speech
I just don't like Homosexuals raising kids it's my opinion.,hate_speech
"So proud of you mom, wish Allah give you strong. Just saying Alhamdulillah to your husband and your son, Allah give them mercy with a beautifull died. I am not supprising that you did not crying, because both your son and your husband did not die, they still alive in jannah, aamiin...",not_hate_speech
I honestly hate China. U can disagree but after This I cant. Its a horrible place and Its horrible people,hate_speech
For the song thing I’m white but I’ll say the nigga word when I’m singing songs but if I’m with a black person and it’s making them uncomfortable or they ask me to stop I would out of respect.,not_hate_speech
"Try to talk to me about your senseless, inane god and you will meet him again as soon as possible thanks to my hand bitch",hate_speech
It's so sick and sad that young people will think of the concept of clout like rap niggers invented it because they aren't even properly taught about the english language anymore.,hate_speech
Bro..your channel needs to grow man,not_hate_speech
She said is christian. Well I now I want to bury her,hate_speech
"I was clinically depressed for a while and this blew my mind. Due to me having stress I don't say 'oh man I'm getting anxiety' or 'ugh I'm so depressed' because all that does is brings attention I don't want.  The fact that people make these illnesses a fashion merch makes me feel like everyone is looking in my or other people's directions. Memes are relatable,funny, and relieving. When he said 'Do people who post these memes have a mental illness or are they just doing it for ..' it made me wonder alot   Now Ik what people are capable of nowadays",not_hate_speech
I don't understand why people get mad at the things that he says he has  A right to his opinion Just because he doesn't agree with you that does not make him a monster or evil person. It's annoying in 2018 on you to 2019 people are operating with an extremely sensitive Ignorant mindset if you don't agree with them,not_hate_speech
Dont do drugs kids...,not_hate_speech
Goosebumps when the beat drops üòä,not_hate_speech
Men of color are all sexual predators!,hate_speech
Christians can get crazy religious and I get so f u c k i n g annoyed,hate_speech
I would order a bucket of ice cold water so I can pour it on him,not_hate_speech
So how long have you lived in your mother's basement?,not_hate_speech
dunno if this makes me disabled but I have asthma so if there was any running or stairs involved then il just die from suffocation in my own lungs haha xxx,not_hate_speech
I don't hate women i just think that they have nothing interesting to say. None reason for existance.,hate_speech
It is very easy in Seattle for a wheeler! but it is not the same in all towns and countries!Ôªø ,not_hate_speech
Bottles are beautiful on the inside and out,not_hate_speech
"Equal pay message, um, says the guy who want socialism in the United States of America",not_hate_speech
"Only a fag doesn't want to see two chicks do it, you don't want your son to grow up to be a fag right?",hate_speech
Listening to you whimper and cry is the highlight of my day,hate_speech
"I really like a lot of what you said here. I feel like i can barely speak up about this side of the topic because people are quick to shut down those who try to be too serious about it.  'Anxiety' and 'depression' and 'mental illness' have almost become buzz words. It seems that a lot of people don't know how difficult it is to really suffer and feel out of control of it all.   As you spoke about, there's a fine line these days between awareness and influence. People get ideas in their heads and see the memes and the relateable content and start linking everything to their own lives. Before you know it, you've got perfectly healthy people being tainted by the world and people around them, imposing problems upon themselves and making life more difficult than it needs to be. It desensitises the whole situation and now I have people coming to me with real problems who don't want to speak up because of the upsurge in people talking about it. They feel they wouldn't be taken seriously. And that's horrible.   I do understand though that it's an impossible seesaw to balance since so many people are involved and so many minds with a million ideas and actions are impossible to control and have on the same wave length.",not_hate_speech
She is flawless. omfg,not_hate_speech
He was so handsome in that era...he didn' use lipsticks at that time…,not_hate_speech
"They are violent fucking savages what the fuck did you think would happen? We wont be thrown around, this is our continent and our responsibility to preserve.",not_hate_speech
"Nice concept, good story but poor act. Try harder next time",not_hate_speech
You have the grace and composure of a rabid hyena,not_hate_speech
What happened to rap? This right here.... This is rap ,not_hate_speech
How does these frikin faggots get a whole month to themselves and veterans that actually do something incredible for us only get a day√∞¬ü¬ò¬§ I hate lgbt,hate_speech
'Nah cut it off Im sure I won't regret it ',not_hate_speech
"“If we deport all the illegal immigrants, our country will be great again” ",hate_speech
Japanese culture is ancient and unique,not_hate_speech
LOVE IS LOVE!!! God excepts everyone. And when I mean everyone I mean everyone I'm a Christian and pan sexual I respect every single person in the lgbtq+ community.,not_hate_speech
You're such a fucking idiot!,hate_speech
Fuck off corbyn... Die or retire..,not_hate_speech
Trans are using the same logic feminists have been using for decades to destroy men so i don&#39t feel sorry for wamen not one bit!,hate_speech
All Muslims are terrorists!,hate_speech
Just nuke the entire shi*hole country,hate_speech
Now the sea is filled with disgusting dead filth like them. Ruined my Mediterranean vacations,not_hate_speech
Every publicity is good publicity ha ? I'm here after watching leaving neverland i don't know he is guilty or not but in music he is a legend and no one can take that from him,not_hate_speech
"Those illegals want to sue the company for money owed.  What about the money they owe  America. It cost money to educated, medical care, welfare, ect.",not_hate_speech
Come and kill my wife,hate_speech
"Why are people so dumb? The police were yelling at everyone to get out of the area yet people just stood there or recorded, guess they want to die.",not_hate_speech
When you find out he has a girlfriend,not_hate_speech
Women are nothing but objects for men's pleasure.,hate_speech
Cutting fundings is just going to make the problem worse,not_hate_speech
Civil rights movement for transgendered people,not_hate_speech
"Salute to this woman in Hollywood! You are so human, my lady. I love you",not_hate_speech
When I see men running with those plastic legs I laugh my ass out so hard I fart some times,hate_speech
"Tell me now ""Whose the terrorists again ""???",not_hate_speech
fucking slut deserved it,hate_speech
2 comments 4 likes and no views gg youtube,not_hate_speech
You're pathetic and deserve to be humiliated.,hate_speech
Call that the Caitlyn Jenner syndrome.,not_hate_speech
what happened in the good old days when these freaks did not exist ? which sewer have these freaks dragged themselves out of ? its just a manufactured group of freaks who want to cut their cocks off and take it up the arse in the hope that the world will treat them as woman . it takes more than that to be a woman . stop pandering to these twats .,hate_speech
"its a good thing im not a commander or so in the police force,specially not during something like this,because the jail would be full of ppl waiting to be deported,if not dead",hate_speech
All I know is that my disorder ruined my fucking life.,not_hate_speech
His eyebrows probably represent his parents relationship,not_hate_speech
"Handsome woman, eww..",not_hate_speech
The degree of improvement is amazing. My father donated stem cells to my uncle and cured his lymphoma. Stem cells are the future of medicine.,not_hate_speech
Salute to Taliban Mujahideen. We Pakistanis are strongly supporting you. Go crush america and kill those bastards. Allah u Akbar. Victory will be yours Insha Allah.,hate_speech
One people. One nation. End migration.,not_hate_speech
Hindus and Muslims are same shit. They only know how to kill Peoples...See comments of Christians people no rudeness no abusing or bad words... Christians religion is the best religion in the world,hate_speech
Those black people are fucking pale,hate_speech
"I can totally relate to this and it actually hurts, I'm also biracial white and afro-american",not_hate_speech
I didn't know future gay gym teachers had to take AIDS tests.,hate_speech
"You can ask me to call you a male, but you'll always be a woman",not_hate_speech
"On todays episode of ""Guess That Gender""",hate_speech
whats the big deal mexico has immigration laws and policies they deport people all the time nothing is said or done yet when the united states chooses to enforce its immigration laws and policies people become shocked and outraged,not_hate_speech
"fuck niggers, they don't need rights. all I want for christmas is a lynched nigger.",hate_speech
"SEE THE BLACKS IN PARIS? THEY TRY TO PRETEND THEY ARE FRENCH,  the''men'' want one thing--to pimp out girls and women. The black women desire white men to pretend they are like white french wives but they are Africans. THEY DO NOT BLEND IN WITH WHITE SOCIETY.",hate_speech
That whore has better eyelashes than any other women,hate_speech
Fuck off niggers WV is full,hate_speech
"You look kinda dead inside, you parents must not haved loved you. ",not_hate_speech
Im lesbian and proud im happy my friends accept me but i dont know if my family does but i dont care what anyone says im proud to be a lesbian,not_hate_speech
What about a global massacre of men? Pussiezzz only girls,hate_speech
Why do negroes tear down their own neighborhoods when a black thug gets killed by law enforcement? Must be because of low IQ.,hate_speech
LILLY SINGH IS A QUEEN! Yay but when will be the next episode,not_hate_speech
Humiliating this Str8 guy. str8 guys like him doing dumb things,not_hate_speech
I have a schizophrenia and I fight alone,not_hate_speech
and we can all make america grea- ..... make america better,not_hate_speech
People with barbaric cultures and desert religions are all the same.,not_hate_speech
Dessert human garbage coming to eurabia,not_hate_speech
White people are the master race!,hate_speech
Aren’t you ashamed about your body colour?,hate_speech
Moving from France to Spain will be a motherfucking big change,not_hate_speech
This is just crazy liberal satanic crap. Don't fall for it. There are only two genders and these people are just cofused psychos,hate_speech
"So when i scroll down to read/leave a comment and scroll back up they blue like thumbs up goes away, it has done this 4 times in a row now. Hmm is it just a glitch or does YouTube remove it when they think you will just leave the video without checking? This happens a lot but only on channels like this.",not_hate_speech
i like dead refugees on my shore√Ø¬ª¬ø,hate_speech
Glenn is the type of Korean dude I’m fucking into. I love his weird eyes,not_hate_speech
"What a wonderful Angel wife. She is sooo beautiful inside and out. And he is very nice man too. This lady and a lady she is , has the most beautiful laughter i have ever heard in my whole life. This couple is what love is made of. Thankyou for this wonderful video.",not_hate_speech
What episode number was this?,not_hate_speech
Love being roasted,not_hate_speech
I hate white flour and white sugar. Are two of the three white deaths!!,not_hate_speech
U r still so beautiful and I am still watching you babe   Chat with you later my dear and lookin at you rock my world.  Just saying babe,not_hate_speech
Dad doing her hair so cute !!!!,not_hate_speech
You're a worthless coward and deserve to be ridiculed.,hate_speech
Looks like the gay poster boy with syphilis,hate_speech
WOW THIS GUY TALKS LIKE A RETARD HAHAHAHAHAH,hate_speech
"Sophie walker, you are leader of nothing! You don't have a solid topic just complaining...  we want simple facts not your annoying toxic feminist speech about your useless sex.",hate_speech
With no legs you are just a bag of meat in your household. Do them the favour and get dead already,hate_speech
If I had Down syndrome I would kill myself,hate_speech
France let them refugees in and this what happened fucking animals,hate_speech
She is heavily relying on him to turn the other cheek...tough talking demon infested woman.,hate_speech
If men shouldnt hit women because we are physically stronnger... then women shouldnt talk because they are fucking louder.,hate_speech
I don’t like this gender at all. I definitely wouldn’t hire any male bitch at ma shop,hate_speech
All I know is the LGBT are human but I hope to God he will make you change your sick ass ways hopefully another soddom and ghomorra occurrence will happen amen,hate_speech
All Native Americans are drunks!,hate_speech
At that point you have a right to defend yourself... But the sad thing is I bet if he would have defended finale he would have gotten in trouble... Sadly he did the right thing but sufferd greatly...,not_hate_speech
Fat lesbians,hate_speech
"You guys I fell so bad, I hope this don’t happen again. Im a Islam",not_hate_speech
fuck bulgaria stupid country,hate_speech
Now they know better than this shit lol they dudes. The stronger sex. The man supremacy,hate_speech
I ship you guys please get back together,not_hate_speech
"“Blacks belong on plantations, that's where they're happiest",hate_speech
This is so sinful. It says it in the bible you dumb fucktards. Stop saying YOU WILL GO TO HEAVEN IF YOU ARE GAY. because you will not go to heaven. Trust me its a fucking choice my GF dated girls and I was her 2nd bf she dated like 12 girls and she is 100% straight. You can change to the right side :),hate_speech
"ANYONE who believes in religion blindly lacks the ability to critically think. Do you really want to follow rules made by people who can not critically think? Believe in your god, but have your own values.",not_hate_speech
The brother is speaking the truth based on facts. In the U.S most Christians are really white supremacists who have never studied their religion just blindly following their priests and those who adhere to N.O.I. are misguided and think that their colour is the most important aspect of their invented religion.,hate_speech
"There are no traditional German values. Germany was unified very late, so regional values and traditions still rank higher than modern ""German"" values.",not_hate_speech
We aren't allowed to roast 12 year olds,not_hate_speech
What if we send every men to mars to start a new life there! They are useless here (Of course milk them first to store their juices),hate_speech
 And I can't stand another day,not_hate_speech
"I don't care what people say these two fuckers are lying,the Facts are stacked against them I hope they going to pay for this smere campaign",not_hate_speech
Lauren is SAVAGE. love her,not_hate_speech
"WTF this teacher should be expelled. That's no way to treat a disabled kid, specially an autistic one!",not_hate_speech
Fucking Canada...stupid. I think the cold shrinks their brains.,hate_speech
"Get proper translators idiot, he didn’t say that",not_hate_speech
This channel is more dangerous than Islam,hate_speech
"Serbia should kill gays in yugoslavia and not albanians, bosnians, croatian",hate_speech
That hair cut makes you irresistible,not_hate_speech
Perfect place for Lana- China and Myanmar. No trouble there. They know how to handle those pigs.,hate_speech
"I don’t hate those kids with these problems, but I’m just saying I feel very ver uncomfortable around them. They are weirdos. Don’t like them. Please god make my child a healthy and good one",not_hate_speech
broke my heart to see the young boy claim his allegiance,not_hate_speech
Are you sure you are a girl? That wig on your legs say: I WANT TO BE A BOY,hate_speech
Should'¬Ä¬ôve set a bug bomb off and locked them in,not_hate_speech
